V4 Class,V4 Parent Class,V4 Attribute,V5 Class,V5 Parent Class ,V5 Attribute,Domain
Branch Function,Piping Function Part,Branch Table Name,No Mapping,,,
Branches,Piping Part,*,PipingBranch,PipingPart,*,PIP
Branches,Piping Part,Maximum run Size,PipingBranch,PipingPart,RunSizeMaximum,PIP
Branches,Piping Part,Minimum run Size,PipingBranch,PipingPart,RunSizeMinimum,PIP
Buffer,Storage Equipment,*,EquipBuffer,EquipMaterialHandler,*,EQT
Buffer,Storage Equipment,Input Type,No Mapping,,,
Buffer,Storage Equipment,Output Type,No Mapping,,,
Bulb Profile,Structural Member,*,No Mapping,,*,
Bushing,Reducing Joint,*,PipingReducingBushing,PipingFitting,*,PIP
Butt Curve,Physical Part,*,No Mapping,,*,
Butt Curve Reference Connection,Master-Slave Connection,*,No Mapping,,*,
Butt Support,Physical Skin,*,No Mapping,,*,
Butterfly Valve,Valve,*,PipingButterflyValve,PipingValve,*,PIP
Cable,Line-String,*,No Mapping,,,
Cap,Caps,*,PipingCap,PipingFitting,*,PIP
Caps,Fittings,*,No Mapping,,*,
Carrier,Conveyor Part,*,No Mapping,,*,
Carrier Connector,Conveyor Connector,*,No Mapping,,*,
Centerline Datum,Datum Connector,*,No Mapping,,*,
Centrifugal Compressor,Compressor,*,EquipCentriCompressor,EquipCompressor,*,EQT
Centrifugal Pump,Pump,*,EquipCentriPump,EquipPump,*,EQT
Channel Shape,Structural Member,*,No Mapping,,*,
Check Valve,Valve,*,PipingCheckValve,PipingValve,*,PIP
Check Valve Function,Process Control Function Part,*,PipingCheckValveFunc_Sample,PipingValveFunc,*,PIP
Chemical Reactor Function,Equipment Function Part,*,EquipChemReactorFunc_Sample,EquipFunc,*,EQT
Chemical Reactor Function,Equipment Function Part,Capacity,EquipChemReactorFunc_Sample,EquipFunc,Capacity,EQT
Chemical Reactor Function,Equipment Function Part,Commodity Type,No Mapping,,,
Chemical Reactor Function,Equipment Function Part,Flow Rate,EquipChemReactorFunc_Sample,EquipFunc,FlowRate,EQT
Chemical Reactor Function,Equipment Function Part,Heat Exchanged,EquipChemReactorFunc_Sample,EquipFunc,HeatExchanged,EQT
Chemical Reactor Function,Equipment Function Part,Pressure,No Mapping,,,
Chemical Reactor Function,Equipment Function Part,Process Description,No Mapping,,,
Chemical Reactor Function,Equipment Function Part,Temperature,No Mapping,,,
Collar,Plate,*,No Mapping,,*,
Collar-SLot Connection,Master-Slave Connection,*,No Mapping,,*,
Column,Structural Member-Type,*,No Mapping,,*,
Complete Hull,Hull Form Type,*,No Mapping,,*,
Composite Web,Physical Part,*,No Mapping,,*,
Composite Web Type,Structural Composite Web Type,*,No Mapping,,*,
Compound Vertical Curve,Vertical Curve,*,No Mapping,,*,
Compressor,Dynamic Equipment Component,*,EquipCompressor,EquipAirHandler,*,EQT
Compressor Function,Equipment Function Part,*,EquipCompressorFunc_Sample,EquipFunc,*,EQT
Compressor Function,Equipment Function Part,Capacity,EquipCompressorFunc_Sample,EquipFunc,Capacity,EQT
Compressor Function,Equipment Function Part,Commodity Type,No Mapping,,,
Compressor Function,Equipment Function Part,Flow Rate,EquipCompressorFunc_Sample,EquipFunc,FlowRate,EQT
Compressor Function,Equipment Function Part,Pressure,No Mapping,,,
Compressor Function,Equipment Function Part,Process Description,No Mapping,,,
Compressor Function,Equipment Function Part,Temperature,No Mapping,,,
Concentric Reducer,Fittings,*,PipingCncntricReducer,PipingFitting,*,PIP
Concrete Beam,Structural Member-Type,*,No Mapping,,*,
Concrete Floor,Structural Planar-Type,*,No Mapping,,*,
Concrete Pile,Structural Member-Type,*,No Mapping,,*,
Condensation,Generic Group    Object,*,No Mapping,,*,
Conduit,Raceways Straight Piece,*,No Mapping,,*,
Conduit Coupling,Conduit Fittings,*,No Mapping,,*,
Conduit Elbow,Conduit Elbows,*,No Mapping,,*,
Conduit Elbows,Conduit Part,*,No Mapping,,*,
Conduit Fittings,Conduit Part,*,No Mapping,,*,
Conduit Part,Raceways Parts,*,No Mapping,,*,
Connector Graphic,Generic Graphic  Object,*,No Mapping,,*,
Connector Pairing Connection,Logical Connection,*,No Mapping,,*,
Constraint Connection,Logical Connection,*,No Mapping,,*,
Constraint Connector,Logical Connector,*,No Mapping,,*,
Constraint Graphic,Generic Graphic  Object,*,No Mapping,,*,
Constraint Graphical Representation,Constraint Graphic,*,No Mapping,,*,
Construction Assembly,Generic Bag      Object,*,No Mapping,,*,
Control Valve,Valve,*,PipingControlValve,PipingValve,*,PIP
Control Valve Function,Process Control Function Part,*,PipingContrlValveFunc_Sample,PipingValveFunc,*,PIP
Controller Function,Instrument Function Part,*,InstrControllerFunc_Sample,InstrPartFunc,*,INS
Conveyor,Material Handler,*,EquipConveyor,EquipMaterialHandler,*,EQT
Conveyor,Material Handler,Input Type,No Mapping,,,
Conveyor,Material Handler,Move Spacing,No Mapping,,,
Conveyor,Material Handler,Output Type,No Mapping,,,
Conveyor,Material Handler,Stop Spacing,No Mapping,,,
Conveyor Connector,Mechanical Connector,*,No Mapping,,*,
Conveyor Network,Logical Line,*,No Mapping,,*,
Conveyor Part,Physical Part,*,No Mapping,,*,
Conveyor Penetration Request,Penetration Request,*,No Mapping,,*,
Conveyor Solid Graphic,Generic Graphic  Object,*,No Mapping,,*,
Conveyor System,Logical Line,*,No Mapping,,*,
Corner Connection,Master-Slave Connection,*,No Mapping,,*,
Corner Pair Connection,Connector Pairing Connection,*,No Mapping,,*,
Corrugated Wall,Curved Plate,*,No Mapping,,*,
Coupling,Joint,*,PipingCoupling,PipingFitting,*,PIP
Cover,Plate,*,No Mapping,,*,
Cover-Slot Connection,Master-Slave Connection,*,No Mapping,,*,
CROS,J7REFLEV,*,No Mapping,,*,
Cross,Branches,*,PipingCross,PipingBranch,*,PIP
Cross,Branches,Branch to Branch##1,No Mapping,,,
Cross,Branches,Branch to Branch##2,No Mapping,,,
Cross,Branches,Branch to Branch##3,No Mapping,,,
Cross,Branches,Branch to Branch##4,No Mapping,,,
Cross,Branches,End Diameter##1,No Mapping,,,
Cross,Branches,End Diameter##2,No Mapping,,,
Cross,Branches,End Diameter##3,No Mapping,,,
Cross,Branches,End Diameter##4,No Mapping,,,
Cross,Branches,End Offset##1,No Mapping,,,
Cross,Branches,End Offset##2,No Mapping,,,
Cross,Branches,End Offset##3,No Mapping,,,
Cross,Branches,End Offset##4,No Mapping,,,
Cross,Branches,End Thickness##1,No Mapping,,,
Cross,Branches,End Thickness##2,No Mapping,,,
Cross,Branches,End Thickness##3,No Mapping,,,
Cross,Branches,End Thickness##4,No Mapping,,,
Cross,Branches,Face to Face##1,No Mapping,,,
Cross,Branches,Face to Face##2,No Mapping,,,
Cross,Branches,Face to Face##3,No Mapping,,,
Cross,Branches,Face to Face##4,No Mapping,,,
Cross,Branches,Nominal Size##1,PipingPart,Physical_Product,NominalSize,PIP
Cross,Branches,Nominal Size##2,PipingPart,Physical_Product,NominalSize2,PIP
Cross,Branches,Nominal Size##3,PipingPart,Physical_Product,NominalSize3,PIP
Cross,Branches,Nominal Size##4,PipingPart,Physical_Product,NominalSize4,PIP
Cross,Branches,OD1##1,PipingPart,Physical_Product,OutsideDiameter,PIP
Cross,Branches,OD1##2,PipingPart,Physical_Product,OutsideDiameter2,PIP
Cross,Branches,OD1##3,PipingPart,Physical_Product,OutsideDiameter3,PIP
Cross,Branches,OD1##4,PipingPart,Physical_Product,OutsideDiameter4,PIP
Cross,Branches,OD2##1,No Mapping,,,
Cross,Branches,OD2##2,No Mapping,,,
Cross,Branches,OD2##3,No Mapping,,,
Cross,Branches,OD2##4,No Mapping,,,
Current Elements Handler,Generic Bag      Object,*,No Mapping,,*,
Curved Pipe,Fittings,*,No Mapping,PipingPipe,*,PIP
Curved Pipe,Fittings,Curved Pipe Data,No Mapping,,,
Curved Pipe,Fittings,Curved Pipe Length##1,No Mapping,,,
Curved Pipe,Fittings,Curved Pipe Length##2,No Mapping,,,
Curved Pipe,Fittings,Curved Pipe Length##3,No Mapping,,,
Curved Pipe,Fittings,Curved Pipe Length##4,No Mapping,,,
Curved Plate,Hull Steelwork Plate Type,*,No Mapping,,*,
Cutout,Plate,*,No Mapping,,*,
Cylindrical Wall,Curved Plate,*,No Mapping,,*,
Datum Connector,Logical Connector,*,No Mapping,,*,
Deck,Planar Plate,*,No Mapping,,*,
DECK,J7REFLEV,*,No Mapping,,*,
Dedicated Controller Function,Controller Function,*,InstrDedicatContrFunc_Sample,InstrControllerFunc_Sample,*,INS
Derivation Part,Physical Part,*,No Mapping,,*,
Design Check Error Handler,Error Analysis Reporting Handler,*,No Mapping,,*,
Design Check Reporting Handler,Error Analysis Reporting Handler,*,No Mapping,,*,
Design Unit,Generic Bag      Object,*,No Mapping,,*,
Design Unit Definition,User Space,*,No Mapping,,*,
Diaphragm Actuator,Valve Operator,*,PipingDiaphrmActuator,PipingValveOperator,*,PIP
Diaphragm Valve,Valve,*,PipingDiaphragmValve,PipingValve,*,PIP
Dimension Datum,Datum Connector,*,No Mapping,,,
Direct Action Steam Cylinder,Mechanical Equipment Component,*,EquipSteamCylinder,EquipDriver,*,EQT
Double Angles Shape,Structural Member,*,No Mapping,,*,
Double Channels Shape,Structural Member,*,No Mapping,,*,
Doubling Class,Hull Steelwork Plate Type,*,No Mapping,,*,
Drain Function,Piping Function Part,*,PipingDrainFunc_Sample,PipingPartFunc,*,PIP
Drive,Conveyor Part,*,No Mapping,,,
Driver Function,Equipment Function Part,*,EquipDriverFunc_Sample,EquipFunc,*,EQT
Drop Section,Conveyor Part,*,No Mapping,,*,
Dropped Tear Plate 5,Structural Planar-Type,*,No Mapping,,*,
Dryer Function,Equipment Function Part,*,EquipDryerFunc_Sample,EquipFunc,*,EQT
Dryer Function,Equipment Function Part,Capacity,EquipDryerFunc_Sample,EquipFunc,Capacity,EQT
Dryer Function,Equipment Function Part,Commodity Type,No Mapping,,,
Dryer Function,Equipment Function Part,Flow Rate,EquipDryerFunc_Sample,EquipFunc,FlowRate,EQT
Dryer Function,Equipment Function Part,Pressure,No Mapping,,,
Dryer Function,Equipment Function Part,Process Description,No Mapping,,,
Dryer Function,Equipment Function Part,Temperature,No Mapping,,,
Duct,Physical String,*,No Mapping,,*,
Duct Connector,Fluidic Connector,*,No Mapping,,*,
Duct Disjoint Connection,Fluidic Connection,*,No Mapping,,*,
Duct Flat Oval Angle L-Flange,Duct Flat Oval Flanges,*,HVACFltOvlLFlange,HVACFltOvlFlange,*,HVA
Duct Flat Oval Collar,Duct Flat Oval Fittings,*,HVACFltOvlCollar,HVACFltOvlFitting,*,HVA
Duct Flat Oval Coupling,Duct Flat Oval Fittings,*,HVACFltOvlCoupling,HVACFltOvlFitting,*,HVA
Duct Flat Oval Elbow,Duct Flat Oval Elbows,*,HVACFltOvlNReducElbow,HVACFltOvlElbow,*,HVA
Duct Flat Oval Elbows,Duct Flat Oval Parts,*,HVACFltOvlElbow,HVACFltOvlPart,*,HVA
Duct Flat Oval Elbows,Duct Flat Oval Parts,Angle,HVACFltOvlElbow,HVACFltOvlPart,Angle,HVA
Duct Flat Oval Elbows,Duct Flat Oval Parts,Ratio_ThroatRad,No Mapping,,,
Duct Flat Oval Elbows,Duct Flat Oval Parts,Throat_Radius,No Mapping,,,
Duct Flat Oval End Plate,Duct Flat Oval Fittings,*,HVACFltOvlEndPlate,HVACFltOvlFitting,*,HVA
Duct Flat Oval Fitting,Duct Flat Oval Fittings,*,No Mapping,,*,
Duct Flat Oval Fittings,Duct Flat Oval Parts,*,HVACFltOvlFitting,HVACFltOvlPart,*,HVA
Duct Flat Oval Fittings,Duct Flat Oval Parts,Angle,No Mapping,,,
Duct Flat Oval Fittings,Duct Flat Oval Parts,Height2,HVACFltOvlFitting,HVACFltOvlPart,Height2,HVA
Duct Flat Oval Fittings,Duct Flat Oval Parts,Lip,No Mapping,,,
Duct Flat Oval Fittings,Duct Flat Oval Parts,Lip2,No Mapping,,,
Duct Flat Oval Fittings,Duct Flat Oval Parts,Thickness_Matl,No Mapping,,,
Duct Flat Oval Fittings,Duct Flat Oval Parts,Width2,HVACFltOvlFitting,HVACFltOvlPart,Width2,HVA
Duct Flat Oval Flanges,Duct Flat Oval Parts,*,HVACFltOvlFlange,HVACFltOvlPart,*,HVA
Duct Flat Oval Flanges,Duct Flat Oval Parts,Gap,No Mapping,,,
Duct Flat Oval Flanges,Duct Flat Oval Parts,Lip,No Mapping,,,
Duct Flat Oval Flanges,Duct Flat Oval Parts,Thickness_Duct,No Mapping,,,
Duct Flat Oval Flanges,Duct Flat Oval Parts,Thickness_Matl,No Mapping,,,
Duct Flat Oval Gasket,Duct Flat Oval Gaskets,*,HVACFltOvlGasket,HVACFltOvlPart,*,HVA
Duct Flat Oval Gaskets,Duct Flat Oval Parts,*,No Mapping,,*,
Duct Flat Oval Offset,Duct Flat Oval Offsets,*,HVACFltOvlToOvlOffset,HVACFltOvlOffset,*,HVA
Duct Flat Oval Offsets,Duct Flat Oval Parts,*,HVACFltOvlOffset,HVACFltOvlPart,*,HVA
Duct Flat Oval Offsets,Duct Flat Oval Parts,Angle,HVACFltOvlOffset,HVACFltOvlPart,Angle,HVA
Duct Flat Oval Offsets,Duct Flat Oval Parts,Angle2,No Mapping,,,
Duct Flat Oval Offsets,Duct Flat Oval Parts,Bend_Radius2,No Mapping,,,
Duct Flat Oval Offsets,Duct Flat Oval Parts,Heel_Radius2,No Mapping,,,
Duct Flat Oval Offsets,Duct Flat Oval Parts,Offset_Edge,No Mapping,,,
Duct Flat Oval Offsets,Duct Flat Oval Parts,Offset_Edge2,No Mapping,,,
Duct Flat Oval Offsets,Duct Flat Oval Parts,Ratio_BendRad2,No Mapping,,,
Duct Flat Oval Offsets,Duct Flat Oval Parts,Ratio_ThroatRad,No Mapping,,,
Duct Flat Oval Offsets,Duct Flat Oval Parts,Ratio_ThroatRad2,No Mapping,,,
Duct Flat Oval Offsets,Duct Flat Oval Parts,Throat_Radius,No Mapping,,,
Duct Flat Oval Offsets,Duct Flat Oval Parts,Throat_Radius2,No Mapping,,,
Duct Flat Oval Ogee,Duct Flat Oval Offsets,*,HVACFltOvlOgee,HVACFltOvlOffset,*,HVA
Duct Flat Oval Parts,Duct Parts,*,HVACFltOvlPart,HVACPart,*,HVA
Duct Flat Oval Parts,Duct Parts,Height ,HVACFltOvlPart,HVACPart,Height,HVA
Duct Flat Oval Parts,Duct Parts,Width ,HVACFltOvlPart,HVACPart,Width,HVA
Duct Flat Oval Plate I-Flange,Duct Flat Oval Flanges,*,HVACFltOvlIFlange,HVACFltOvlFlange,*,HVA
Duct Flat Oval Transition,Duct Flat Oval Transitions,*,HVACFltOvlToOvl,HVACFltOvlTransition,*,HVA
Duct Flat Oval Transition,Duct Flat Oval Transitions,Height2,HVACFltOvlToOvl,HVACFltOvlTransition,Height2,HVA
Duct Flat Oval Transition,Duct Flat Oval Transitions,Width2,HVACFltOvlToOvl,HVACFltOvlTransition,Width2,HVA
Duct Flat Oval Transitions,Duct Flat Oval Parts,*,HVACFltOvlTransition,HVACFltOvlPart,*,HVA
Duct Flat Oval Transitions,Duct Flat Oval Parts,Offset_Center,No Mapping,,,
Duct Flat Oval Transitions,Duct Flat Oval Parts,Offset_Center2,No Mapping,,,
Duct Flat Oval Transitions,Duct Flat Oval Parts,Offset_Edge,No Mapping,,,
Duct Flat Oval Transitions,Duct Flat Oval Parts,Offset_Edge2,No Mapping,,,
Duct FlatOval-Rectangular Transition,Duct Flat Oval Transitions,*,HVACFltOvlToRect,HVACFltOvlTransition,*,HVA
Duct FlatOval-Rectangular Transition,Duct Flat Oval Transitions,Height2,HVACFltOvlToRect,HVACFltOvlTransition,Height2,HVA
Duct FlatOval-Rectangular Transition,Duct Flat Oval Transitions,Width2,HVACFltOvlToRect,HVACFltOvlTransition,Width2,HVA
Duct FlatOval-Round Transition,Duct Flat Oval Transitions,*,HVACFltOvlToRnd,HVACFltOvlTransition,*,HVA
Duct FlatOval-Round Transition,Duct Flat Oval Transitions,Diameter,No Mapping,,,
Duct Flow Line,Line-String,*,No Mapping,,*,
Duct Hole,Derivation Part,*,MldHole,MldMiscellaneous,*,MLD
Duct Hole,Derivation Part,Diameter,No Mapping,,,
Duct Hole,Derivation Part,Height##1,No Mapping,,,
Duct Hole,Derivation Part,Height##2,No Mapping,,,
Duct Hole,Derivation Part,Height##3,No Mapping,,,
Duct Hole,Derivation Part,Height##4,No Mapping,,,
Duct Hole,Derivation Part,Position Number,No Mapping,,,
Duct Hole,Derivation Part,Width##1,No Mapping,,,
Duct Hole,Derivation Part,Width##2,No Mapping,,,
Duct Hole,Derivation Part,Width##3,No Mapping,,,
Duct Hole,Derivation Part,Width##4,No Mapping,,,
Duct Incompatibility Connection,Fluidic Connection,*,No Mapping,,*,
Duct Oval Access Cover on Rectangular,Duct Rectangular Access Covers,*,No Mapping,,*,
Duct Parts,Physical Part,*,HVACPart,Physical_Product,*,HVA
Duct Parts,Physical Part,Angle,No Mapping,,*,
Duct Parts,Physical Part,Angle2,No Mapping,,,
Duct Parts,Physical Part,Creation Mode,No Mapping,,,
Duct Parts,Physical Part,Diameter,No Mapping,,,
Duct Parts,Physical Part,Diameter2,No Mapping,,,
Duct Parts,Physical Part,Diameter3,No Mapping,,,
Duct Parts,Physical Part,Diameter4,No Mapping,,,
Duct Parts,Physical Part,Duct Connection Type,HVACPart,Physical_Product,EndStyle,HVA
Duct Parts,Physical Part,Duct Fabrication Site,No Mapping,,,
Duct Parts,Physical Part,Duct Insulation Fabrication Site,No Mapping,,,
Duct Parts,Physical Part,Duct Insulation Material,HVACPart,Physical_Product,InsulationMaterial,HVA
Duct Parts,Physical Part,Duct Insulation Specification,HVACPart,Physical_Product,DuctInsulationSpecification,HVA
Duct Parts,Physical Part,Duct Insulation Standard,No Mapping,,,
Duct Parts,Physical Part,Duct Insulation Thickness,HVACPart,Physical_Product,InsulationThickness,HVA
Duct Parts,Physical Part,Duct Insulation Thickness Overridden,No Mapping,,,
Duct Parts,Physical Part,Duct Material,HVACPart,Physical_Product,MaterialCategory,HVA
Duct Parts,Physical Part,Duct Material Thickness,HVACPart,Physical_Product,MaterialThickness,HVA
Duct Parts,Physical Part,Duct Material Thickness Overridden,No Mapping,,,
Duct Parts,Physical Part,Duct Part Description,No Mapping,,,
Duct Parts,Physical Part,Duct Part Name,HVACPart,Physical_Product,PartName,HVA
Duct Parts,Physical Part,Duct Pressure Class Rating,HVACPart,Physical_Product,PressureClassRating,HVA
Duct Parts,Physical Part,Duct Rigidity Class,No Mapping,,,
Duct Parts,Physical Part,Duct Specification ,HVACPart,Physical_Product,DuctSpecification,HVA
Duct Parts,Physical Part,Duct Specificaton ,No Mapping,,,
Duct Parts,Physical Part,Duct Standard,HVACPart,Physical_Product,Standard,HVA
Duct Parts,Physical Part,Element Description##1,No Mapping,,,
Duct Parts,Physical Part,Element Description##2,No Mapping,,,
Duct Parts,Physical Part,Element Description##3,No Mapping,,
Duct Parts,Physical Part,Element Description##4,No Mapping,,
Duct Parts,Physical Part,Encoded Duct Material,No Mapping,,
Duct Parts,Physical Part,Height,No Mapping,,
Duct Parts,Physical Part,Height2,No Mapping,,
Duct Parts,Physical Part,Height3,No Mapping,,
Duct Parts,Physical Part,Height4,No Mapping,,
Duct Parts,Physical Part,Length,No Mapping,,
Duct Parts,Physical Part,Length_Ext1,No Mapping,,
Duct Parts,Physical Part,Length_Ext2,No Mapping,,
Duct Parts,Physical Part,Length_Overall,No Mapping,,
Duct Parts,Physical Part,Length_Overall2,No Mapping,,
Duct Parts,Physical Part,Length2,No Mapping,,
Duct Parts,Physical Part,Lip,No Mapping,,
Duct Parts,Physical Part,Offset,No Mapping,,
Duct Parts,Physical Part,Parameter Name,No Mapping,,
Duct Parts,Physical Part,Parameter Value##1,No Mapping,,,
Duct Parts,Physical Part,Parameter Value##2,No Mapping,,,
Duct Parts,Physical Part,Parameter Value##3,No Mapping,,,
Duct Parts,Physical Part,Parameter Value##4,No Mapping,,,
Duct Parts,Physical Part,Position Number,No Mapping,,,
Duct Parts,Physical Part,Pressure,No Mapping,,,
Duct Parts,Physical Part,Temperature,No Mapping,,,
Duct Parts,Physical Part,Thickness,No Mapping,,,
Duct Parts,Physical Part,Throat_Radius,No Mapping,,,
Duct Parts,Physical Part,Throat_Radius2,No Mapping,,,
Duct Parts,Physical Part,Volume Flow Rate,No Mapping,,,
Duct Parts,Physical Part,Weight,HVACPart,Physical_Product,WeightDry,HVA
Duct Parts,Physical Part,Width,No Mapping,,,
Duct Parts,Physical Part,Width2,No Mapping,,,
Duct Parts,Physical Part,Width3,No Mapping,,,
Duct Parts,Physical Part,Width4,No Mapping,,,
Duct Rectangular Access Cover on Rectangular,Duct Rectangular Access Covers,*,HVACRectAccessCvrRect,HVACRectAccessCvr,*,HVA
Duct Rectangular Access Cover on Rectangular,Duct Rectangular Access Covers,Thickness_Matl,No Mapping,,,
Duct Rectangular Access Cover on Round,Duct Round Access Covers,*,HVACRectAccessCvrRnd,HVACRectAccessCvr,*,HVA
Duct Rectangular Access Cover on Round,Duct Round Access Covers,Height##1,No Mapping,,,
Duct Rectangular Access Cover on Round,Duct Round Access Covers,Height##2,No Mapping,,,
Duct Rectangular Access Cover on Round,Duct Round Access Covers,Height##3,No Mapping,,,
Duct Rectangular Access Cover on Round,Duct Round Access Covers,Height##4,No Mapping,,,
Duct Rectangular Access Cover on Round,Duct Round Access Covers,Thickness_Matl,No Mapping,,,
Duct Rectangular Access Cover on Round,Duct Round Access Covers,Width##1,No Mapping,,,
Duct Rectangular Access Cover on Round,Duct Round Access Covers,Width##2,No Mapping,,,
Duct Rectangular Access Cover on Round,Duct Round Access Covers,Width##3,No Mapping,,,
Duct Rectangular Access Cover on Round,Duct Round Access Covers,Width##4,No Mapping,,,
Duct Rectangular Access Covers,Duct Rectangular Parts,*,HVACRectAccessCvr,HVACRectPart,*,HVA
Duct Rectangular Access Covers,Duct Rectangular Parts,Height2,HVACRectAccessCvr,HVACRectPart,Height2,HVA
Duct Rectangular Access Covers,Duct Rectangular Parts,Width2,HVACRectAccessCvr,HVACRectPart,Width2,HVA
Duct Rectangular Angle L-Flange,Duct Rectangular Flanges,*,HVACRectLFlange,HVACRectFlange,*,HVA
Duct Rectangular Angled Tap on Rectangular,Duct Rectangular Branches,*,HVACRectAngledTapRect,HVACRectBranch,*,HVA
Duct Rectangular Branches,Duct Rectangular Parts,*,HVACRectBranch,HVACRectPart,*,HVA
Duct Rectangular Branches,Duct Rectangular Parts,Angle,HVACRectBranch,HVACRectPart,Angle,HVA
Duct Rectangular Branches,Duct Rectangular Parts,Bend_Radius2,No Mapping,,,
Duct Rectangular Branches,Duct Rectangular Parts,Diameter,No Mapping,,,
Duct Rectangular Branches,Duct Rectangular Parts,Diameter_Bead,No Mapping,,,
Duct Rectangular Branches,Duct Rectangular Parts,Heel_Radius2,No Mapping,,,
Duct Rectangular Branches,Duct Rectangular Parts,Height2,No Mapping,,,
Duct Rectangular Branches,Duct Rectangular Parts,Height3,No Mapping,,,
Duct Rectangular Branches,Duct Rectangular Parts,Length_Bead,No Mapping,,,
Duct Rectangular Branches,Duct Rectangular Parts,Length_Ext3,No Mapping,,,
Duct Rectangular Branches,Duct Rectangular Parts,Length_Ext4,No Mapping,,,
Duct Rectangular Branches,Duct Rectangular Parts,Length_Flange,No Mapping,,,
