V4 Table Type,V4 Table Name,V5 Folder Name
3D Part Function - Gasket,FUNCTION_TABLE_GASKETS_SS150R,SS150R
3D Part Function - Miscellaneous,FUNCTION_TABLE_MISCELLANEOUS_CS150R  ,CS150R
3D Part Function - Miscellaneous,FUNCTION_TABLE_MISCELLANEOUS_CS300R  ,CS300R
3D Part Function - Miscellaneous,FUNCTION_TABLE_MISCELLANEOUS_CS600R  ,CS600R
3D Part Function - Miscellaneous,FUNCTION_TABLE_MISCELLANEOUS_SS150R  ,SS150R
3D Part Function - In-line Instrument,FUNCTION_TABLE_INLINE_INSTRUMENT,CS150R
3D Part Function - In-line Instrument,FUNCTION_TABLE_INLINE_INSTRUMENT,CS300R
3D Part Function - In-line Instrument,FUNCTION_TABLE_INLINE_INSTRUMENT,CS600R
3D Part Function - In-line Instrument,FUNCTION_TABLE_INLINE_INSTRUMENT,SS150R
3D Part Function - Valve,FUNCTION_TABLE_VALVES_CS150R  ,CS150R
3D Part Function - Valve,FUNCTION_TABLE_VALVES_CS300R  ,CS300R
3D Part Function - Valve,FUNCTION_TABLE_VALVES_CS600R  ,CS600R
3D Part Function - Valve,FUNCTION_TABLE_VALVES_SS150R  ,SS150R
Branch,BRH_STEEL_45 ,Default
Branch,BRH_STEEL_90 ,Default
Weld,WELD TABLE A   ,Default
Shop-Fabrication,SHOP_FABRICATION_TABLE_A    ,Default
Bolt,BOLT_TABLE_A   
Bolt,BOLT_TABLE_B   ,Default
Bolt,BOLT_TABLE_C   
Design Condition,ASTL-Design_Condition  ,ASTL
Transparent Auto Parts,Transparent_Auto_Parts,DesignRules
Compatibility Rules,Compatibility_Rules ,DesignRules
Process function mapping rules,Process_function_mapping_rules    ,DesignRules
Process func mapping by size,PROCESS_FUNCTION_CS300R   ,CS300R
Process func mapping by size,PROCESS_FUNCTION_CS150R   ,CS150R
Process func mapping by size,PROCESS_FUNCTION_CS600R   ,CS600R
Process func mapping by size,PROCESS_FUNCTION_SS150R   ,SS150R
Process func mapping by size,PROCESS_FUNCTION_CSTEST
Nominal OD,AIRN-Nominal_OD    ,AIRN
Schedule,AIRN-Schedule   ,AIRN
Wall Thickness,AIRN-Wall_Thickness ,AIRN
End Style,AIRN-End_Style ,AIRN
Rating,AIRN-Rating  ,AIRN
Material Category,AIRN-Material_Category,AIRN
Part Name - Pipe,AIRN-Part_Name_-_Pipe  ,AIRN
Part Name - Branches,AIRN-Part_Name_-_Branches    ,AIRN
Part Name - Elbows,AIRN-Part_Name_-_Elbows   ,AIRN
Part Name - Fittings,AIRN-Part_Name_-_Fittings    ,AIRN
Part Name - Flanges,AIRN-Part_Name_-_Flanges ,AIRN
Part Name - Gasket,AIRN-Part_Name_-_Gasket   ,AIRN
Part Name - Miscellaneous,AIRN-Part_Name_-_Miscellaneous    ,AIRN
Part Name - Accessory,AIRN-Part_Name_-_Accessory  ,AIRN
Part Name - In-line Instrument,AIRN-Part_Name_-_In-line_Instrument    ,AIRN
Part Name - Valve Operator,AIRN-Part_Name_-_Valve_Operator  ,AIRN
Part Name - Valve,AIRN-Part_Name_-_Valve,AIRN
Material Code - Pipe,AIRN-Material_Code_-_Pipe    ,AIRN
Material Code - Branches,AIRN-Material_Code_-_Branches ,AIRN
Material Code - Elbows,AIRN-Material_Code_-_Elbows,AIRN
Material Code - Fittings,AIRN-Material_Code_-_Fittings ,AIRN
Material Code - Flanges,AIRN-Material_Code_-_Flanges   ,AIRN
Material Code - Gasket,AIRN-Material_Code_-_Gasket,AIRN
Material Code - Miscellaneous,AIRN-Material_Code_-_Miscellaneous ,AIRN
Material Code - Accessory,AIRN-Material_Code_-_Accessory    ,AIRN
Material Code - In-line Instrument,AIRN-Material_Code_-_In-line_Instrument ,AIRN
Material Code - Valve Operator,AIRN-Material_Code_-_Valve_Operator    ,AIRN
Material Code - Valve,AIRN-Material_Code_-_Valve  ,AIRN
Pipe Dimension,AIRN-Pipe_Dimension ,AIRN
Design Condition,AIRN-Design_Condition  ,AIRN
